datasetID,mapGridNumber,latitude,longitude
DryTortugasReefVisualCensus1999,2573625.0,24.62343,-83.10153
DryTortugasReefVisualCensus1999,2573631.0,24.63497,-83.102
DryTortugasReefVisualCensus1999,2573632.0,24.63545,-83.102
DryTortugasReefVisualCensus1999,2573640.0,24.65007,-83.10252
DryTortugasReefVisualCensus1999,2577370.0,24.61432,-83.09923
DryTortugasReefVisualCensus1999,2581143.0,24.6554,-83.09702
DryTortugasReefVisualCensus1999,2584893.0,24.65555,-83.09672
DryTortugasReefVisualCensus1999,2588646.0,24.661855445783132,-83.09433380722892
DryTortugasReefVisualCensus1999,2592398.0,24.66613,-83.09158
DryTortugasReefVisualCensus1999,2592399.0,24.66662,-83.09178
DryTortugasReefVisualCensus1999,2596124.0,24.62227522580645,-83.08898651612903
DryTortugasReefVisualCensus1999,2596130.0,24.6334906242497,-83.08952819927971
DryTortugasReefVisualCensus1999,2596132.0,24.63575,-83.08853
DryTortugasReefVisualCensus1999,2596135.0,24.64192,-83.08865
DryTortugasReefVisualCensus1999,2599882.0,24.63593,-83.08803
DryTortugasReefVisualCensus1999,2599885.0,24.64242,-83.08822
DryTortugasReefVisualCensus1999,2599892.0,24.655,-83.08688
DryTortugasReefVisualCensus1999,2599893.0,24.65612,-83.08705
DryTortugasReefVisualCensus1999,2603612.0,24.6,-83.08565
DryTortugasReefVisualCensus1999,2607389.0,24.648664398541918,-83.08426523693802
DryTortugasReefVisualCensus1999,2607400.0,24.66913,-83.08407
DryTortugasReefVisualCensus1999,2607401.0,24.66995,-83.08407
DryTortugasReefVisualCensus1999,2611154.0,24.67688,-83.08172
DryTortugasReefVisualCensus1999,2614903.0,24.6743807875895,-83.08078371121718
DryTortugasReefVisualCensus1999,2614904.0,24.67687,-83.08092
DryTortugasReefVisualCensus1999,2622401.0,24.671030366300368,-83.07578992673993
DryTortugasReefVisualCensus1999,2626134.0,24.63997,-83.07317
DryTortugasReefVisualCensus1999,2629879.0,24.631165136540965,-83.07149817945384
DryTortugasReefVisualCensus1999,2629883.0,24.63865,-83.07245
DryTortugasReefVisualCensus1999,2629893.0,24.65661063305979,-83.0725614771395
DryTortugasReefVisualCensus1999,2629910.0,24.68727708066581,-83.07235877080666
DryTortugasReefVisualCensus1999,2633643.0,24.65607,-83.06928
DryTortugasReefVisualCensus1999,2637393.0,24.65607,-83.0691
DryTortugasReefVisualCensus1999,2641163.0,24.69193,-83.06682
DryTortugasReefVisualCensus1999,2644875.0,24.625,-83.06307
DryTortugasReefVisualCensus1999,2644900.0,24.668692180451128,-83.06395025062656
DryTortugasReefVisualCensus1999,2644912.0,24.69048,-83.0646
DryTortugasReefVisualCensus1999,2648625.0,24.6245,-83.0626
DryTortugasReefVisualCensus1999,2648664.0,24.69402,-83.0621
DryTortugasReefVisualCensus1999,2652405.0,24.67848,-83.06085
DryTortugasReefVisualCensus1999,2652406.0,24.67985728301887,-83.06061698113207
DryTortugasReefVisualCensus1999,2656118.0,24.61141346153846,-83.05726875
DryTortugasReefVisualCensus1999,2656155.0,24.67873898064516,-83.05802309677419
DryTortugasReefVisualCensus1999,2659869.0,24.61293,-83.05637
DryTortugasReefVisualCensus1999,2659891.0,24.65367,-83.05665
DryTortugasReefVisualCensus1999,2659905.0,24.677891190198366,-83.05571003500583
DryTortugasReefVisualCensus1999,2659906.0,24.67983,-83.05753
DryTortugasReefVisualCensus1999,2663607.0,24.59122427307206,-83.05323445006321
DryTortugasReefVisualCensus1999,2663618.0,24.61115,-83.05432
DryTortugasReefVisualCensus1999,2663641.0,24.654009316770185,-83.05435236024846
DryTortugasReefVisualCensus1999,2663655.0,24.67933,-83.05423
DryTortugasReefVisualCensus1999,2663662.0,24.69053,-83.05452
DryTortugasReefVisualCensus1999,2663666.0,24.69767,-83.05533
DryTortugasReefVisualCensus1999,2667406.0,24.67973,-83.05207
DryTortugasReefVisualCensus1999,2671156.0,24.67995,-83.05167
DryTortugasReefVisualCensus1999,2671172.0,24.70833,-83.0505
DryTortugasReefVisualCensus1999,2674899.0,24.66722313299233,-83.04773520460358
DryTortugasReefVisualCensus1999,2674917.0,24.70067521315469,-83.04877098660171
DryTortugasReefVisualCensus1999,2678602.0,24.58220789539228,-83.04506901618929
DryTortugasReefVisualCensus1999,2678608.0,24.594048635170605,-83.04564238845144
DryTortugasReefVisualCensus1999,2678634.0,24.640521165644174,-83.04642233128834
DryTortugasReefVisualCensus1999,2678654.0,24.67647,-83.04573
DryTortugasReefVisualCensus1999,2678660.0,24.68773,-83.04608
DryTortugasReefVisualCensus1999,2678671.0,24.70738,-83.04793
DryTortugasReefVisualCensus1999,2678672.0,24.709120518331225,-83.04715158027813
DryTortugasReefVisualCensus1999,2682410.0,24.6875,-83.04575
DryTortugasReefVisualCensus1999,2682421.0,24.70667,-83.04567
DryTortugasReefVisualCensus1999,2682423.0,24.71032555276382,-83.04481211055277
DryTortugasReefVisualCensus1999,2686122.0,24.61865,-83.04212
DryTortugasReefVisualCensus1999,2689868.0,24.61218,-83.03927408759124
DryTortugasReefVisualCensus1999,2689888.0,24.64763,-83.04117
DryTortugasReefVisualCensus1999,2689919.0,24.70307,-83.04048
DryTortugasReefVisualCensus1999,2693620.0,24.61568,-83.03795
DryTortugasReefVisualCensus1999,2693668.0,24.70293,-83.0402
DryTortugasReefVisualCensus1999,2697407.0,24.68185,-83.03685
DryTortugasReefVisualCensus1999,2697416.0,24.69767,-83.03635403282533
DryTortugasReefVisualCensus1999,2697423.0,24.71058,-83.03808
DryTortugasReefVisualCensus1999,2704910.0,24.68707,-83.03242
DryTortugasReefVisualCensus1999,2708665.0,24.69708,-83.0313
DryTortugasReefVisualCensus1999,2708673.0,24.71088,-83.03048
DryTortugasReefVisualCensus1999,2712408.0,24.68482,-83.03003
DryTortugasReefVisualCensus1999,2712423.0,24.71067,-83.0302
DryTortugasReefVisualCensus1999,2719890.0,24.6524,-83.02407
DryTortugasReefVisualCensus1999,2719897.0,24.6643,-83.025
DryTortugasReefVisualCensus1999,2719924.0,24.71355942857143,-83.0256344935065
DryTortugasReefVisualCensus1999,2723670.0,24.70628,-83.0238
DryTortugasReefVisualCensus1999,2731156.0,24.68033269417476,-83.01832351941746
DryTortugasReefVisualCensus1999,2731163.0,24.69288,-83.01858
DryTortugasReefVisualCensus1999,2734913.0,24.69343,-83.01832
DryTortugasReefVisualCensus1999,2738649.0,24.668497265822786,-83.01455173417722
DryTortugasReefVisualCensus1999,2746157.0,24.68352,-83.01177
DryTortugasReefVisualCensus1999,2746158.0,24.6847,-83.0121
DryTortugasReefVisualCensus1999,2749924.0,24.71332,-83.01038
DryTortugasReefVisualCensus1999,2764894.0,24.65845428057554,-83.00053863309353
DryTortugasReefVisualCensus1999,2764905.0,24.6784,-83.00117
DryTortugasReefVisualCensus1999,2764916.0,24.698889705535926,-83.00191830388692
DryTortugasReefVisualCensus1999,2768655.0,24.67887,-83.0002
DryTortugasReefVisualCensus1999,2768656.0,24.68152667887668,-82.99866236874236
DryTortugasReefVisualCensus1999,2768660.0,24.687972426035504,-82.99900840236687
DryTortugasReefVisualCensus1999,2768666.0,24.69985,-82.99923
DryTortugasReefVisualCensus1999,2772414.0,24.69598,-82.99808
DryTortugasReefVisualCensus1999,2772415.0,24.69648,-82.9978
