importance,trophic_group,group,scientific_name,common_name,n
exploited,Benthic invertivore,exploited,Lachnolaimus maximus,Hogfish,5127
exploited,Higher carnivore,exploited,Epinephelus itajara,Goliath grouper,171
exploited,Higher carnivore,exploited,Epinephelus morio,Red grouper,2952
exploited,Higher carnivore,exploited,Epinephelus striatus,Nassau grouper,213
exploited,Higher carnivore,exploited,Lutjanus analis,Mutton snapper,2294
exploited,Higher carnivore,exploited,Lutjanus griseus,Gray snapper,2503
exploited,Higher carnivore,exploited,Mycteroperca bonaci,Black grouper,2320
exploited,Higher carnivore,exploited,Mycteroperca microlepis,Gag,133
exploited,Higher carnivore,exploited,Mycteroperca phenax,Scamp,741
exploited,Higher carnivore,exploited,Mycteroperca venenosa,Yellowfin grouper,162
exploited,Higher carnivore,exploited,Ocyurus chrysurus,Yellowtail snapper,5787
forage fish,Benthic invertivore,forage fish,Lagodon rhomboides,Pinfish,11
forage fish,Benthic invertivore,forage fish,Orthopristis chrysoptera,Pigfish,4
forage fish,Higher carnivore,forage fish,Caranx crysos,Blue runner,394
forage fish,Higher carnivore,forage fish,Decapterus punctatus,Round scad,58
forage fish,Higher carnivore,forage fish,Diplectrum formosum,Sand perch,50
forage fish,Higher carnivore,forage fish,Harengula jaguana,Scaled sardine,14
forage fish,Omnivore,forage fish,Hemiramphus brasiliensis,Ballyhoo,48
invasive,Higher carnivore,invasive,Pterois volitans,Red lionfish,319
ornamental,Benthic invertivore,ornamental,Chaetodon capistratus,Foureye butterflyfish,4070
ornamental,Benthic invertivore,ornamental,Holacanthus bermudensis,Blue angelfish,3081
ornamental,Benthic invertivore,ornamental,Pomacanthus arcuatus,Gray angelfish,4846
ornamental,Higher carnivore,ornamental,Hypoplectrus unicolor,Butter hamlet,3967
NA,Algal farmer,Algal farmer,Microspathodon chrysurus,Yellowtail damselfish,1097
NA,Algal farmer,Algal farmer,Stegastes adustus,Dusky damselfish,1507
NA,Algal farmer,Algal farmer,Stegastes diencaeus,Longfin damselfish,654
NA,Algal farmer,Algal farmer,Stegastes leucostictus,Beaugregory,3061
NA,Algal farmer,Algal farmer,Stegastes partitus,Bicolor damselfish,6490
NA,Algal farmer,Algal farmer,Stegastes planifrons,Threespot damselfish,3105
NA,Algal farmer,Algal farmer,Stegastes variabilis,Cocoa damselfish,5863
NA,Benthic invertivore,Benthic invertivore,Acanthemblemaria aspera,Roughhead blenny,137
NA,Benthic invertivore,Benthic invertivore,Acanthemblemaria chaplini,Papillose blenny,14
NA,Benthic invertivore,Benthic invertivore,Acanthemblemaria maria,Secretary blenny,6
NA,Benthic invertivore,Benthic invertivore,Acanthemblemaria spinosa,Spinyhead blenny,2
NA,Benthic invertivore,Benthic invertivore,Acanthostracion polygonia,Honeycomb cowfish,117
NA,Benthic invertivore,Benthic invertivore,Acanthostracion quadricornis,Scrawled cowfish,421
NA,Benthic invertivore,Benthic invertivore,Aetobatus narinari,Spotted eagle ray,87
NA,Benthic invertivore,Benthic invertivore,Amblycirrhitus pinos,Redspotted hawkfish,82
NA,Benthic invertivore,Benthic invertivore,Anisotremus surinamensis,Black margate,416
NA,Benthic invertivore,Benthic invertivore,Anisotremus virginicus,Porkfish,3578
NA,Benthic invertivore,Benthic invertivore,Apogon aurolineatus,Bridle cardinalfish,8
NA,Benthic invertivore,Benthic invertivore,Apogon binotatus,Barred cardinalfish,107
NA,Benthic invertivore,Benthic invertivore,Apogon maculatus,Flamefish,135
NA,Benthic invertivore,Benthic invertivore,Apogon phenax,Mimic cardinalfish,1
NA,Benthic invertivore,Benthic invertivore,Apogon pseudomaculatus,Twospot cardinalfish,142
NA,Benthic invertivore,Benthic invertivore,Apogon quadrisquamatus,Sawcheek cardinalfish,4
NA,Benthic invertivore,Benthic invertivore,Apogon townsendi,Belted cardinalfish,29
NA,Benthic invertivore,Benthic invertivore,Archosargus probatocephalus,Sheepshead,31
NA,Benthic invertivore,Benthic invertivore,Archosargus rhomboidalis,Sea bream,29
NA,Benthic invertivore,Benthic invertivore,Astrapogon puncticulatus,Blackfin cardinalfish,1
NA,Benthic invertivore,Benthic invertivore,Astrapogon stellatus,Conchfish,2
NA,Benthic invertivore,Benthic invertivore,Balistes capriscus,Gray triggerfish,361
NA,Benthic invertivore,Benthic invertivore,Balistes vetula,Queen triggerfish,132
NA,Benthic invertivore,Benthic invertivore,Bodianus pulchellus,Spotfin hogfish,297
NA,Benthic invertivore,Benthic invertivore,Bodianus rufus,Spanish hogfish,3123
NA,Benthic invertivore,Benthic invertivore,Calamus bajonado,Jolthead porgy,155
NA,Benthic invertivore,Benthic invertivore,Calamus calamus,Saucereye porgy,4522
NA,Benthic invertivore,Benthic invertivore,Calamus nodosus,Knobbed porgy,58
NA,Benthic invertivore,Benthic invertivore,Calamus penna,Sheepshead porgy,70
NA,Benthic invertivore,Benthic invertivore,Calamus proridens,Littlehead porgy,87
NA,Benthic invertivore,Benthic invertivore,Canthidermis sufflamen,Ocean triggerfish,334
NA,Benthic invertivore,Benthic invertivore,Chaenopsis limbaughi,Yellowface pikeblenny,1
NA,Benthic invertivore,Benthic invertivore,Chaetodon sedentarius,Reef butterflyfish,2675
NA,Benthic invertivore,Benthic invertivore,Chaetodon striatus,Banded butterflyfish,1475
NA,Benthic invertivore,Benthic invertivore,Chilomycterus antennatus,Bridled burrfish,22
NA,Benthic invertivore,Benthic invertivore,Chilomycterus atinga,Spotted burrfish,1
NA,Benthic invertivore,Benthic invertivore,Chilomycterus schoepfii,Striped burrfish,39
NA,Benthic invertivore,Benthic invertivore,Ctenogobius saepepallens,Dash goby,161
NA,Benthic invertivore,Benthic invertivore,Dasyatis americana,Southern stingray,143
NA,Benthic invertivore,Benthic invertivore,Diodon holocanthus,Balloonfish,249
NA,Benthic invertivore,Benthic invertivore,Diodon hystrix,Porcupinefish,199
NA,Benthic invertivore,Benthic invertivore,Diplodus argenteus,Silver porgy,8
NA,Benthic invertivore,Benthic invertivore,Doratonotus megalepis,Dwarf wrasse,2
NA,Benthic invertivore,Benthic invertivore,Elacatinus horsti,Yellowline goby,25
NA,Benthic invertivore,Benthic invertivore,Elacatinus macrodon,Tiger goby,11
NA,Benthic invertivore,Benthic invertivore,Elacatinus xanthiprora,Yellowprow goby,169
NA,Benthic invertivore,Benthic invertivore,Emblemaria pandionis,Sailfin blenny,35
NA,Benthic invertivore,Benthic invertivore,Emblemariopsis bahamensis,Blackhead blenny,9
NA,Benthic invertivore,Benthic invertivore,Equetus lanceolatus,Jackknife-fish,90
